CEBS_PubNumber,CEBS_TestArticleName,CEBS_DTXSID,CEBS_CASRN,CEBS_AMES_CONCLUSION,CEBS_MALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_MALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_IN_VITRO_MN_CONCLUSION,CEBS_MALE_RAT_COMET,CEBS_FEMALE_RAT_COMET,CEBS_MALE_MOUSE_COMET,CEBS_FEMALE_MOUSE_COMET
,2-Octyl-3-isothiazolone,DTXSID1025805,26530-20-1,Negative; Negative,,,,,,,,,
,Zearalanol,DTXSID4022315,26538-44-3,Negative,,,,,,,,,
,"1-Naphthalenesulfonic acid, 6-diazo-5,6-dihydro-5-oxo, sodium salt",DTXSID7041178,2657-00-3,Positive,,,,,,,,,
TR-389,Sodium azide,DTXSID8020121,26628-22-8,Positive; Positive; Positive,,,,,,,,,
,Methyl pentachlorostearate,DTXSID1025647,26638-28-8,Negative,,,,,,,,,
,Chloroneb,DTXSID2024793,2675-77-6,Positive,,,,,,,,,
,Diisodecyl phthalate,DTXSID4025082,26761-40-0,Negative; Negative,,,,,,,,,
,"Neodecanoic acid, 2,3-epoxypropyl ester",DTXSID8025705,26761-45-5,Positive,,,,,,,,,
,"1,2-Dihydro-2,2,4-trimethylquinoline (polymer)",DTXSID5025071,26780-96-1,Negative,,,,,,,,,
TR-377,o-Chlorobenzalmalononitrile (CS),DTXSID9020297,2698-41-1,Equivocal; Equivocal,,,,,,,,,
TR-370,Benzofuran,DTXSID6020141,271-89-6,Negative,,,,,,,,,
,Tris(4-chlorophenyl)methane,DTXSID70181976,27575-78-6,Negative,,,,,,,,,
,Vanadyl sulfate,DTXSID4021428,27774-13-6,Negative,,,,,,,,,
,Dichloroisocyanuric acid,DTXSID8024993,2782-57-2,Negative,,,,,,,,,
,"1,1,3,3-Tetramethyl-2-thiourea",DTXSID5026126,2782-91-4,Negative,,,,,,,,,
TR-208,FD & C Yellow No. 6,DTXSID6021456,2783-94-0,Negative,,,Negative,,,,,,
TR-271,HC Blue 1,DTXSID6020191,2784-94-3,Positive,,,,,,,,,
TR-556,Chromium picolinate monohydrate,DTXSID8031025,27882-76-4,Negative,,,Negative,Equivocal,,,,,
,Isopropyl Phenyl Diphenyl Phosphate (Ipdp Mixed Isomers),DTXSID6025484,28108-99-8,Negative,,,,,,,,,
,5-Chloro-2-methyl-1H-benzimidazole,DTXSID8024787,2818-69-1,Positive,,,,,,,,,
,Antimony potassium tartrate,DTXSID3039240,28300-74-5,Negative,,,,,,,,,
TR-222,C.I. Disperse Yellow 3,DTXSID6021450,2832-40-8,Positive; Positive,,,Negative,,,,,,
TR-253,Allyl isovalerate,DTXSID4039233,2835-39-4,Negative,,,,,,,,,
,5-Amino-o-cresol,DTXSID9024489,2835-95-2,Positive,,,Negative; Negative; Negative,Negative,,,,,
TR-430,C.I. Direct Blue 218,DTXSID2020187,28407-37-6,Negative,,,,,,,,,
,"1,2-Epoxydodecane",DTXSID9025243,2855-19-8,Negative,,,,,,,,,
,Diisononyl phthalate,DTXSID4022521,28553-12-0,Negative,,,,,,,,,
,Cyclohexene oxide,DTXSID6024880,286-20-4,Positive; Positive; Positive; Negative,Negative,,,,,,,,
,Methyl biphenyl (mixed isomers),DTXSID0025575,28652-72-4,Negative,,,,,,,,,
TR-281,HC Red 3,DTXSID2021236,2871-01-4,Positive,,,,,,,,,
,Diacetone acrylamide,DTXSID1024916,2873-97-4,Negative,,,,,,,,,
,Cyclopentane,DTXSID6024886,287-92-3,Negative,,,,,,,,,
,Dimethylnaphthalene,DTXSID7025130,28804-88-8,Negative; Equivocal,,,,,,,,,
,Sodium dichloroisocyanurate,DTXSID3024994,2893-78-9,Negative,,,,,,,,,
,2-Nitro-1-propanol,DTXSID60863052,2902-96-7,Negative,,,,,,,,,
,Chlorpyrifos (Dursban),DTXSID4020458,2921-88-2,Negative,,,,,,,,,
,Cadinene,DTXSID5024712,29350-73-0,Positive,,,,,,,,,
,Tolytriazole,DTXSID0026171,29385-43-1,Weakly Positive,,,,,,,,,
,S-(ethyl)chlorothioformic acid,DTXSID6025278,2941-64-2,Negative,,,,,,,,,
,Ethylene bis acrylamide,DTXSID5025281,2956-58-3,Positive,,,Positive (Nonstandard Protocol),,,,,,
,2-Amino-4-thiazoleacetic acid,DTXSID0024509,29676-71-9,Equivocal; Equivocal,,,,,,,,,
,4-Butyloxybenzal-4'-ethylaniline,DTXSID4024698,29743-15-5,Weakly Positive,,,,,,,,,
,Isodecyl Diphenyl Phosphate,DTXSID3025465,29761-21-5,Negative,,,,,,,,,
TR-157,Methyl parathion,DTXSID1020855,298-00-0,Positive,,,,,,,,,
TR-439,Methylphenidate hydrochloride,DTXSID8020886,298-59-9,Negative; Negative,Negative,,Negative,Negative,,Negative,,,
TR-359,8-Methoxypsoralen,DTXSID8020830,298-81-7,Positive,,,Equivocal,,,,,,
,S-adenosylmethionine,DTXSID6032019,29908-03-0,Negative,,,,,,,,,
,"2-Amino-5,6-dimethylbenzothiazole",DTXSID0024478,29927-08-0,Positive,,,,,,,,,
,L-Ephedrine,DTXSID0022985,299-42-3,Negative,,,,,,,,,
,Isodecyl methacrylate,DTXSID8025466,29964-84-9,Negative,,,,,,,,,
,Treosulfan,DTXSID0026173,299-75-2,,,,Positive,,,,,,
,Lead(2+) acetate,DTXSID6020773,301-04-2,Negative,,,Negative,,,,,,
,Tris(4-chlorophenyl)methanol,DTXSID50184187,3010-80-8,Negative,,,,,,,,,
,Metasystox R,DTXSID8025541,301-12-2,Positive,,,,,,,,,
,tris(2-Ethylhexyl) ester phosphorous acid,DTXSID4026264,301-13-3,Negative,,,,,,,,,
,Dichloroacetonitrile,DTXSID3021562,3018-12-0,Positive,,,,,,,,,
,Chloral hydrate,DTXSID7020261,302-17-0,Positive,,,Positive,,,,,,
,C.I. Solvent Red 5,DTXSID2025769,3025-77-2,Positive,,,,,,,,,
,DL-alanine,DTXSID6031255,302-72-7,Negative,,,,,,,,,
TR-039,Lasiocarpine,DTXSID1020772,303-34-4,Positive,,,,,,,,,
TR-358,Ochratoxin A,DTXSID7021073,303-47-9,Negative,,,,,,,,,
,Chlorambucil,DTXSID7020263,305-03-3,Positive,,,Positive,,,,,,
"TR-469, TR-522",3'-Azido-3'-deoxythymidine (AIDS),DTXSID8020127,30516-87-1,Weakly Positive; Positive,,,Positive; Positive,,,,,,
,"2',3'-Didehydro-3'-deoxythymidine",DTXSID1023819,3056-17-5,Weakly Positive; Negative,,,Positive,,,,,,
,"1,2-Dimethylhydrazine 2HCl",DTXSID6020517,306-37-6,Negative,,,,,,Positive,,,
,"2,3-Dibromopropylmethacrylate",DTXSID2024951,3066-70-4,Positive,,,,,,,,,
,Perfluorohexanoic acid (PFHXA),DTXSID3031862,307-24-4,Negative,Equivocal,Negative,,,,,,,
,Perfluorododecanoic acid (PFDOA),DTXSID8031861,307-55-1,Negative,,,,,,,,,
,"N,N'-bis(1,4-Dimethylpentyl)-p-phenylenediamine",DTXSID2024618,3081-14-9,Negative,,,,,,,,,
,"1,2-Epoxy-3,3,3-trichloropropane",DTXSID3025251,3083-23-6,Positive; Positive,,,,,,,,,
,"4,4,4-Trichloro-1,2-epoxybutane",DTXSID8025250,3083-25-8,Positive,,,,,,,,,
TR-021,Aldrin,DTXSID8020040,309-00-2,Negative,,,,,,,,,
,Sodium methohexital,DTXSID6026036,309-36-4,Negative,,,,,,,,,
,t-Butyl phenyl glycidyl ether,DTXSID1024702,3101-60-8,Positive,,,,,,,,,
,3-Methyl-4-nitrobenzoic acid,DTXSID1025641,3113-71-1,Positive,,,,,,,,,
,5-Methyl-2-nitrobenzoic acid,DTXSID1025643,3113-72-2,Positive,,,,,,,,,
,Aluminum citrate,DTXSID3030711,31142-56-0,Equivocal,,,,,,,,,
,2-Methoxyethyl acrylate,DTXSID7025554,3121-61-7,Negative,,,,,,,,,
,Dicyclohexylamine nitrite,DTXSID1025019,3129-91-7,Positive,,,,,,,,,
,Epibromohydrin,DTXSID5025237,3132-64-7,Positive,,,,,,,,,
,3-Bromobenzaldehyde,DTXSID4027521,3132-99-8,Negative,,,,,,,,,
,C.I. Direct Blue 53,DTXSID9022815,314-13-6,Positive; Equivocal,,,,,,,,,
,"4-Hydroxypyrazolo[3,4-d]pyrimidine",DTXSID4022573,315-30-0,Weakly Positive; Negative; Negative,,,,,,,,,
,"2,7-Dinitro-9H-fluoren-9-one",DTXSID4025163,31551-45-8,Positive,,,,,,,,,
,Piperonal acetone,DTXSID7025926,3160-37-0,Negative,,,,,,,,,
TR-043,Emetine hydrochloride,DTXSID80424947,316-42-7,Negative,,,,,,,,,
TR-165,4-Chloro-o-toluidine hydrochloride,DTXSID0020288,3165-93-3,Negative; Equivocal,,,,,,,,,
,Isocyanatocyclohexane,DTXSID8025464,3173-53-3,Negative; Equivocal,,,,,,,,,
,Decyl methacrylate,DTXSID6024915,3179-47-3,Negative,,,,,,,,,
,Disperse blue 7,DTXSID8025208,3179-90-6,Positive,,,,,,,,,
TR-042,5-Azacytidine,DTXSID9020116,320-67-2,Positive; Positive,,,Positive,,,,,,
,"2,3-Dichloronitrobenzene",DTXSID8024997,3209-22-1,Weakly Positive; Weakly Positive,,,,,,,,,
,"2,3-Dibromo-2-butene-1,4-diol",DTXSID90274233,3234-02-4,Positive,,,,,,,,,
,"1,2-Epoxytetradecane",DTXSID9025249,3234-28-4,Negative,,,,,,,,,
,Alloxan monohydrate,DTXSID9024435,3237-50-1,Negative,,,,,,,,,
TR-544,Dibromoacetonitrile,DTXSID3024940,3252-43-5,Weakly Positive; Weakly Positive; Weakly Positive; Positive; Equivocal,,,Negative,Negative,,,,,
TR-589,Pentabromodiphenyl Ether Mixture [DE-71 (Technical Grade)],DTXSID2024246,32534-81-9,Negative; Negative; Negative,,,Negative; Negative; Negative,Negative,,,,,
,Octabromodiphenyl ether,DTXSID8024236,32536-52-0,,,,Positive; Negative,,,,,,
,Ethylenebis(tetrabromophthalimide),DTXSID6024626,32588-76-4,Negative,,,,,,,,,
,Piperonyl acetate,DTXSID2025925,326-61-4,Negative,,,,,,,,,
,"2,3-Epoxybutane",DTXSID5025239,3266-23-7,Positive,,,,,,,,,
,3-(Methylthio)propanal,DTXSID9027528,3268-49-3,Negative,,,,,,,,,
,Octachlorodibenzodioxin (OCDD),DTXSID4025799,3268-87-9,Negative,,,,,,,,,
,Chlorogenic acid,DTXSID3024786,327-97-9,Negative,,,,,,,,,
TR-452,"2,2-bis(Bromomethyl)-1,3-propanediol",DTXSID9020164,3296-90-0,Positive; Positive; Negative,,,Equivocal,,,,,,
,"3,4-Dihydroxycinnamic acid",DTXSID5020231,331-39-5,Negative,,,Positive,,,,,,
,Indol-3-yl sodium phosphate,DTXSID0025442,3318-43-2,Positive; Equivocal,,,,,,,,,
,tris(2-Ethylhexyl)trimellitate,DTXSID9026265,3319-31-1,Negative,,,,,,,,,
TR-293,HC Blue 2,DTXSID6020193,33229-34-4,Positive,,,,,,,,,
,"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane",DTXSID8024947,3322-93-8,Negative,,,,,,,,,
,Tetramethylsuccinonitrile,DTXSID0026125,3333-52-6,Negative,,,,,,,,,
,"7-(2H-Naphtho[1,2-d]triazol-2-yl)-3-phenylcoumarin",DTXSID6025698,3333-62-8,Negative,,,,,,,,,
,Nickel carbonate,DTXSID3025708,3333-67-3,Equivocal,,,,,,,,,
TR-137,Diazinon,DTXSID9020407,333-41-5,Negative,,,,,,,,,
,Decanoic acid,DTXSID9021554,334-48-5,Negative,,,,,,,,,
TR-598,Perfluorooctanoic acid (PFOA),DTXSID8031865,335-67-1,Equivocal,Positive,Negative,,,,Negative,,,
,Perfluorodecanoic acid (PFDA),DTXSID3031860,335-76-2,Negative,Negative,Negative,,,,,,,
TR-123,"2,7-Dichlorodibenzo-p-dioxin",DTXSID1020435,33857-26-0,Negative,,,,,,,,,
,Orphenadrine hydrochloride,DTXSID5025815,341-69-5,Negative,,,,,,,,,
,Acetochlor,DTXSID8023848,34256-82-1,,,,,,,Negative,,,
,"2,2-bis(Bromoethyl)-1,3-propanediol",DTXSID3024609,34549-30-9,Positive,,,,,,,,,
,Polythiazide,DTXSID6025939,346-18-9,Negative,,,,,,,,,
,Mezerein,DTXSID3025673,34807-41-5,Negative,,,,,,,,,
,4-Methylcyclohexanemethanol (MCHM),DTXSID9041813,34885-03-5,Negative,Negative,,,,,,,,
,Pentaerythritol triacrylate,DTXSID2025842,3524-68-3,Negative,,,Negative; Equivocal,Positive; Negative,,,,,
,Pyrazineethanethiol,DTXSID2025977,35250-53-4,Negative,,,,,,,,,
TR-060,Phenesterin,DTXSID6021119,3546-10-9,Negative; Negative,,,,,,,,,
,Pentafluoroiodoethane,DTXSID8040149,354-64-3,Positive,,,,,,,,,
,Ponceau 3R,DTXSID7021231,3564-09-8,Negative,,,,,,,,,
TR-220,C.I. Acid Red 14,DTXSID3021225,3567-69-9,Negative,,,Negative,,,,,,
TR-555,"1,2-Dibromo-2,4-dicyanobutane",DTXSID3024944,35691-65-7,Negative; Negative,,,Negative,Negative,,,,,
,Brucine,DTXSID2024662,357-57-3,Negative,,,,,,,,,
,5-Sulfoanthranilic acid,DTXSID2026070,3577-63-7,Negative; Equivocal,,,,,,,,,
,Dimethyltin difluoride,DTXSID0025155,3582-17-0,Negative,,,,,,,,,
,"3,4,5,6-Tetrabromo-o-xylene",DTXSID1026085,36059-21-9,Negative,,,,,,,,,
,N-Butylbenzenesulfonamide,DTXSID7027540,3622-84-2,Negative,,,,,,,,,
,C.I. Direct Green 1,DTXSID3025201,3626-28-6,Weakly Positive; Positive,,,,,,,,,
,Hexabromobiphenyl,DTXSID3025382,36355-01-8,Negative; Negative,,,,,,,,,
,Diundecyl phthalate,DTXSID7025215,3648-20-2,Negative,,,,,,,,,
,beta-Butyrolactone,DTXSID1020223,36536-46-6,Positive,,,,,,,,,
TR-019,Procarbazine hydrochloride,DTXSID3021190,366-70-1,Negative,,,,,,,,,
,"2,4-Difluoroaniline",DTXSID6025064,367-25-9,Positive,,,,,,,,,
,Sodium thioglycolate,DTXSID3026142,367-51-1,Negative,,,Negative,Positive,,,,,
,Ribavirin,DTXSID8023557,36791-04-5,Negative; Negative,,,Positive,,,,,,
,Methyl vinyl sulfone,DTXSID1031628,3680-02-2,,,,Not a Valid Test,,,,,,
,6-Nitrophthalhydrazide,DTXSID1025774,3682-19-7,Positive,,,,,,,,,
,AF-2,DTXSID9020033,3688-53-7,Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,Tetraethyldithiopyrophosphate,DTXSID7024328,3689-24-5,Positive,,,,,,,,,
,2'-Methyl-4-dimethylaminobenzene,DTXSID3025592,3731-39-3,Equivocal; Equivocal,,,,,,,,,
TR-512,Elmiron (sodium pentosanpolysulfate),DTXSID1025229,37319-17-8,Negative,Negative,,Negative; Negative,Negative,,,,,
,Perfluorobutane sulfonic acid (PFBS),DTXSID5030030,375-73-5,Equivocal,Negative,Negative,,,,,,,
,Perfluorononanoic acid (PFNA),DTXSID8031863,375-95-1,Negative,Negative,Negative,,,,,,,
,Ponceau MX,DTXSID8021228,3761-53-3,Weakly Positive,,,,,,,,,
,"1,2-Bis(2,4,6-tribromophenoxy)ethane",DTXSID1024627,37853-59-1,Negative,,,,,,,,,
,Ergotamine tartrate,DTXSID3025253,379-79-3,Negative,,,,,,,,,
,Streptomycin sulfate,DTXSID9026053,3810-74-0,Weakly Positive; Weakly Positive; Negative,,,,,,,,,
,Bupivacaine,DTXSID2022703,38396-39-3,Negative,,,,,,,,,
,"2-Nitro-a,a,a-trifluorotoluene",DTXSID4025793,384-22-5,Negative,,,,,,,,,
,Perfluorohexane sulfonate potassium salt (PFHSKslt),DTXSID3037709,3871-99-6,,Negative,Negative,,,,,,,
,2-Amino-4-thiazoline HCl,DTXSID9030175,3882-98-2,Positive,,,,,,,,,
,"1,1-Dimethyl-1-(2-hydroxypropylamine)tetradecanimide",DTXSID3025126,38848-76-9,Negative,,,,,,,,,
TR-368,Nalidixic acid,DTXSID3020912,389-08-2,Weakly Positive; Negative,,,,,,,,,
TR-084,"2,4-Diaminoanisole sulfate",DTXSID7020398,39156-41-7,Positive,,,,,,,,,
,Imidazolidinyl urea,DTXSID2040151,39236-46-9,Positive,,,Negative,,,,,Negative,
TR-224,Tara gum,DTXSID8021303,39300-88-4,Negative,,,,,,,,,
,2-Fluorobenzoyl chloride,DTXSID3025330,393-52-2,Positive,,,,,,,,,
,"4-Chloro-3,5-dinitro-a,a,a-trifluorotoluene",DTXSID8024781,393-75-9,Negative,,,,,,,,,
TR-420,Triamterene,DTXSID6021373,396-01-0,Negative; Negative,,,,,,,,,
,Isopropyl glycidyl ether,DTXSID6025480,4016-14-2,Positive,,,,,,,,,
,Capsaicin,DTXSID9020241,404-86-4,Negative,,,,,,,,,
,Pentaethylenehexamine,DTXSID7025843,4067-16-7,Positive,,,,,,,,,
,Diethylene glycol diacrylate,DTXSID3025045,4074-88-8,Negative,,,,,,,,,
,N-(3-Chloroallyl)hexaminium chloride,DTXSID5024760,4080-31-3,Weakly Positive,,,,,,,,,
,"2',3'-Dideoxyadenosine",DTXSID2023771,4097-22-7,Weakly Positive; Positive,,,Positive,,,,,,
,Isophorone diisocyanate,DTXSID0023826,4098-71-9,Negative,,,,,,,,,
,4-n-Hexyl-4'-cyanobiphenyl,DTXSID4025404,41122-70-7,Negative,,,,,,,,,
,Crotonaldehyde,DTXSID8024864,4170-30-3,Positive,,,Negative,Negative,,,,,
,"Propanediol (2,2-bis (benzoyloxy)methyl)-dibenzoate",DTXSID8024608,4196-86-5,Negative,,,,,,,,,
,"1,3-Propanediol 2-((benzoyloxyl)methyl)-2-methyl-dibenzoate",DTXSID1024590,4196-87-6,Negative,,,,,,,,,
,C.I. Direct Blue 10,DTXSID1025194,4198-19-0,Negative,,,,,,,,,
,C.I. Basic red 29,DTXSID0030900,42373-04-6,Positive,,,,,,,,,
,"4,7,10-Trioxatridecane-1,13-diamine",DTXSID6044565,4246-51-9,Negative,,,,,,,,,
,"2,2',4'-Trichloroacetophenone",DTXSID3026190,4252-78-2,Positive,,,,,,,,,
,Vinpocetine,DTXSID5023740,42971-09-5,Negative,,,,Negative,Positive,,,,Equivocal
,"D,L-Methamphetamine HCl",DTXSID3048865,4298-16-2,Negative,,,,,,,,,
TR-593,"2,3-Butanedione",DTXSID6021583,431-03-8,Weakly Positive; Positive,Negative,Negative,Negative; Negative,Negative,,,,,
,Mono(2-ethylhexyl)adipate,DTXSID3025679,4337-65-9,Negative,,,,,,,,,
TR-485,Oxymetholone,DTXSID5023794,434-07-1,Negative,,,Negative,Negative,,,,,
TR-175,Lithocholic acid,DTXSID6020779,434-13-9,Negative,,,,,,,,,
,Dacarbazine,DTXSID0020369,4342-03-4,Positive; Positive,,,,,,,,,
,D-alpha-Tocopheryl succinate,DTXSID2026151,4345-03-3,Negative,,,,,,,,,
,L-5-Hydroxytryptophan,DTXSID1025437,4350-09-8,Negative,,,,,,,,,
,Mono(2-ethylhexyl)phthalate,DTXSID2025680,4376-20-9,Negative,,,,,,,,,
,Diazepam,DTXSID4020406,439-14-5,Negative,,,,,,,,,
,2-Methyl-2-butenenitrile,DTXSID0025577,4403-61-6,Negative; Negative,,,,,,,,,
,D & C green no. 5,DTXSID2024903,4403-90-1,Weakly Positive,,,,,,,,,
,Sodium dehydroacetate,DTXSID7026029,4418-26-2,Negative,,,,,,,,,
,C.I. Pigment Orange 43,DTXSID8025913,4424-06-0,Positive,,,,,,,,,
,Metronidazole,DTXSID2020892,443-48-1,Positive,,,,,,,,,
,Diethylbutylamine,DTXSID9025039,4444-68-2,Negative,,,,,,,,,
,"2,4,5-Trimethoxybenzaldehyde",DTXSID1022217,4460-86-0,Negative; Negative,,,,,,,,,
,Cytoxal alcohol,DTXSID2043791,4465-94-5,Positive,,,,,,,,,
TR-539,Genistein,DTXSID5022308,446-72-0,Positive,,,,,,,,,
,Azathioprine,DTXSID4020119,446-86-6,Positive,,,,,,,,,
,p-Methylcatechol,DTXSID5020861,452-86-8,Negative; Equivocal,,,Negative,,,,,,
,C.I. Food Red 1,DTXSID2021234,4548-53-2,Negative,,,,,,,,,
,Methylglutaronitrile,DTXSID5029344,4553-62-2,Weakly Positive,,,,,,,,,
,Triethanolamine stearate,DTXSID9026219,4568-28-9,Negative,,,,,,,,,
,Curcumin,DTXSID8031077,458-37-7,Negative; Negative,Negative,,,,,,,,
,2-Chloropropyl-dimethylamine hydrochloride,DTXSID3024780,4584-49-0,Positive,,,,,,,,,
,Fluorobenzene,DTXSID4025329,462-06-6,Positive,,,,,,,,,
,Amyl nitrite,DTXSID3024522,463-04-7,Weakly Positive; Weakly Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,Linolenic acid,DTXSID7025506,463-40-1,Weakly Positive; Weakly Positive,,,,,,,,,
,Carbonyl sulfide,DTXSID6023949,463-58-1,Weakly Positive,,,,,,,,,
,3-Pentenenitrile,DTXSID1025851,4635-87-4,Weakly Positive; Equivocal,,,,,,,,,
,Tribromonitromethane,DTXSID8021511,464-10-8,Weakly Positive; Weakly Positive,,,,,,,,,
,D-Camphor,DTXSID4024721,464-49-3,Negative,,,,,,,,,
,Isopropyl methacrylate,DTXSID6022218,4655-34-9,Negative,,,,,,,,,
,"1,8-Cineol",DTXSID4020616,470-82-6,Negative,,,,,,,,,
,"1,3,5-Triazine-1,3,5(2H,4H,6H)-triethanol",DTXSID7025394,4719-04-4,Weakly Positive; Positive,,,,,,,,,
,13-cis-Retinal,DTXSID0025997,472-86-6,Weakly Positive,,,,,,,,,
,Pinane,DTXSID7025922,473-55-2,Negative,,,,,,,,,
,Ellagic acid,DTXSID2020557,476-66-4,Negative,,,,,,,,,
,"Rhein (1,8-dihydroxy-3-carboxyl anthraquinone)",DTXSID4026000,478-43-3,Positive,,,,,,,,,
,1-Butyl-1-methylpyrrolidinium Chloride,DTXSID1031460,479500-35-1,Negative,Positive,Negative,Negative,Negative,,,,,
,2-Aminoacetanilide hydrochloride,DTXSID7024453,4801-39-2,Positive,,,,,,,,,
,D-Limonene dimercaptan,DTXSID2025501,4802-20-4,Negative; Negative; Negative,,,,,,,,,
,"1,8,9-Trihydroxyanthracene",DTXSID7026231,480-22-8,Negative,,,,,,,,,
,Seneciphylline,DTXSID8026016,480-81-9,Positive,,,,,,,,,
,Juglone,DTXSID0031504,481-39-0,Positive,,,,,,,,,
,"Chrysophanic acid (1,8-dihydroxy-3-methylanthraquinone)",DTXSID6024832,481-74-3,Weakly Positive,,,,,,,,,
,2-Bromoethyl acrylate,DTXSID4024648,4823-47-6,Positive,,,,,,,,,
,C.I. Vat Blue 1,DTXSID3026279,482-89-3,Positive; Equivocal,,,,,,,,,
,"8-Hydroxy-5,7-dinitro-2-naphthalenesulfonic acid (8CI)(9CI)",DTXSID4025167,483-84-1,Positive,,,,,,,,,
,5-Methoxypsoralen,DTXSID1025560,484-20-8,Positive,,,Negative,,,,,,
,Ninhydrin,DTXSID7025716,485-47-2,Negative; Equivocal,,,,,,,,,
,Isopropyl phenylacetate,DTXSID1025483,4861-85-2,Negative,,,,,,,,,
,"4',7-Dihydroxyisoflavone",DTXSID9022310,486-66-8,Negative,,,,,,,,,
,Dibromomannitol,DTXSID7022918,488-41-5,Positive; Positive,,,Positive,,,,,,
,"2,3,4,5-Tetrachlorophenol",DTXSID0022220,4901-51-3,Negative,,,,,,,,,
,"2,4,5-T isobutyl ester",DTXSID2026074,4938-72-1,Negative,,,,,,,,,
,Menthofuran,DTXSID9025534,494-90-6,Negative,,,,,,,,,
,N-Hydroxybenzamide,DTXSID7025421,495-18-1,Positive; Positive,,,,,,,,,
,Azoxybenzene,DTXSID0024555,495-48-7,Positive,,,,,,,,,
,Glycoluril,DTXSID6031380,496-46-8,Negative,,,Negative,,,,,,
,"3,4-Diaminotoluene",DTXSID9024930,496-72-0,Positive,,,,,,,,,
,Arbutin,DTXSID7040152,497-76-7,Negative,,,,,,,,,
,Methyl succinic acid,DTXSID9025663,498-21-5,Negative,,,,,,,,,
,Formaldehyde,DTXSID7020637,50-00-0,Weakly Positive; Weakly Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,Phenobarbital,DTXSID5021122,50-06-6,Weakly Positive,,,,,,,,,
,Olivetol,DTXSID0025812,500-66-3,Negative,,,,,,,,,
,Mitomycin C,DTXSID2020898,50-07-7,,,,Positive,,,,,,
,Resveratrol,DTXSID4031980,501-36-0,Negative,Negative,Negative,Negative,Negative,,,,,
,Cyclophosphamide,DTXSID5020364,50-18-0,,Positive; Not a Valid Test,,Positive; Positive,,,,,,
,Lactic acid,DTXSID7023192,50-21-5,Negative,,,,,,,,,
,17beta-Estradiol,DTXSID0020573,50-28-2,Negative,Negative,,Negative; Negative,Negative,,,,,
TR-131,Dichlorodiphenyltrichloroethane (DDT),DTXSID4020375,50-29-3,Negative,,,,,,,,,
,"2,6-Dichlorobenzoic acid",DTXSID0024979,50-30-6,Negative,,,,,,,,,
,"1,2-Epoxy-3-fluoropropane",DTXSID4025244,503-09-3,Positive,,,,,,,,,
,Benzo(a)pyrene,DTXSID2020139,50-32-8,Positive; Positive,,,,,,,,,
,"1,3-Propylene oxide",DTXSID8025969,503-30-0,Positive,,,,,,,,,
TR-367,Phenylbutazone,DTXSID9021136,50-33-9,Negative,,,Negative,,,,,,
,Propantheline bromide,DTXSID2023519,50-34-0,Negative; Negative,,,,,,,,,
,2-Aminopyridine,DTXSID0024505,504-29-0,Negative,,,,,,,,,
,"2,3-Dichlorobenzoic acid",DTXSID5024976,50-45-3,Negative,,,,,,,,,
,Vinclozolin,DTXSID4022361,50471-44-8,Negative,,,Negative,,,Negative,,Positive,
TR-052,3-Nitropropionic acid,DTXSID1020982,504-88-1,Positive,,,,,,,,,
,"1,3-Dioxane",DTXSID3025174,505-22-6,Weakly Positive; Equivocal,,,Negative,,,,,,
,Isophytol,DTXSID2025474,505-32-8,Negative; Equivocal,,,,,,,,,
TR-193,Reserpine,DTXSID7021237,50-55-5,Negative,,,Negative,,,,,,
TR-567,Ginseng,DTXSID1023780,50647-08-0,Negative; Negative,,,Negative,Negative,,,,,
,Cyanogen chloride,DTXSID4021551,506-77-4,Negative,,,,,,,,,
,Actinomycin D,DTXSID9020031,50-76-0,,,,Positive,Positive,,,,,
,Acetylsalicylic acid,DTXSID5020108,50-78-2,Negative; Negative,,,,,,,,,
,"2,5-Dichlorobenzoic acid",DTXSID5024978,50-79-3,Negative,,,,,,,,,
,Acetyl-l-carnitine hydrochloride,DTXSID3040693,5080-50-2,Negative,,,,,,,,,
TR-247,L-Ascorbic acid,DTXSID5020106,50-81-7,Weakly Positive; Negative,,,Positive,,,,,,
,"2,4-Dichlorobenzoic acid",DTXSID0024977,50-84-0,Negative,,,,,,,,,
,WY-14643,DTXSID4020290,50892-23-4,,Negative,Negative,Negative; Negative,Negative; Negative,,,,,
TR-386,Tetranitromethane,DTXSID5021334,509-14-8,Positive,,,,,,,,,
TR-075,Chlorobenzilate,DTXSID9020299,510-15-6,Negative; Negative; Negative,,,,,,,,,
TR-120,Piperonyl butoxide,DTXSID1021166,51-03-6,Negative,,,,,,,,,
,Benzimidazole,DTXSID8024573,51-17-2,Negative,,,,,,,,,
,Methyl 4-methylcyclohexanecarboxylate,DTXSID3068623,51181-40-9,Negative,,,,,,,,,
,Triethylenemelamine,DTXSID3026225,51-18-3,Positive,,,Positive,Positive,,,,,
,5-Fluorouracil,DTXSID2020634,51-21-8,Negative,,,,,,,,,
